sdr,theta,phi,gamma,bx,by,bz
200.0,2.847591028818353,0.9233630763477081,2.229498507004566,187.14746675942038,207.93673814132546,154.2809619489643
200.0,2.429309675376481,0.24747923086312462,1.5260413382432163,185.98602530310112,176.73549969073133,156.63355973596458
200.0,3.1337131496615958,0.6328290448227905,1.6293036804841354,154.52830976267046,155.97604707002247,171.42372014236244
200.0,2.4354487082211262,-0.8487103389185827,2.3267435542774866,185.3955541424525,162.7130957415426,176.65286908152527
200.0,3.158247060857429,-0.31943196098161497,1.7367143641619351,181.93803282565614,164.83478618262504,165.8207803924301
200.0,2.524907868785459,-0.23099542752680224,2.1076233814392165,206.41114848224208,178.83286160345068,159.44316363450884
200.0,2.4941551521997685,0.9070875929088116,1.1480807297703506,168.69908893931108,154.99092120100443,188.832185695303
200.0,2.7265719153908115,-0.06159129053309653,0.9121717728270544,207.16899957550245,201.03829227936163,141.19648977004482
200.0,3.7277119352954564,-0.9355981260855075,0.8582453890312117,156.1291931985695,176.1639997511636,182.1809911709192
200.0,3.0405517340823085,-0.5420269329179349,0.8789260753092387,171.2861857646438,189.9454276714675,189.37534987719232
200.0,2.4343426526759675,0.8933508491506537,2.13070474846125,169.35614849293646,206.46167704577263,155.62595110302914
200.0,3.719739698307924,-0.2703010456498375,0.853151148242496,204.80782811243483,167.9897788313729,153.71403205411107
200.0,3.3316220939508367,-0.37633029465811063,2.353161209433922,160.60045286646002,151.80326322806386,161.02264676402416
200.0,3.570628445309809,-0.28167225409990426,0.5799449960165604,151.33270741187852,209.6004516805218,193.62793695296688
200.0,3.7478796149601448,-0.2582623627426325,1.0263283888627908,167.7608112930921,159.63625882382934,148.7111864199265
200.0,2.9098057780662625,0.7353083106582246,1.4545059505465785,201.1504069739691,192.37798170493537,195.19112808588332
200.0,3.85285227192799,0.7171085459265816,0.9878266804725697,191.4087144313216,197.3784423489996,151.58898099936653
200.0,3.07057813143986,-0.7974797297012075,2.518703542913634,204.0051490335473,207.89243555745543,170.52189090112665
200.0,3.8032444514896913,-1.0438851192099972,2.3750104263862175,163.97670434198872,184.6590354342418,180.5186720363301
200.0,3.016799359985937,-0.52450273426235,2.249669079237495,208.16895185706065,151.80161007355088,182.60462891760025
200.0,3.516639764190203,0.9220120123616398,0.9294413471990288,159.92398720718285,161.9146877273593,168.2869625503747
200.0,2.5025157827328255,0.31615278430778804,0.8375341202647666,202.9480926138835,158.66953841853928,142.6956329722829
200.0,2.5943040829056967,0.323514205494297,2.0624025187933244,151.91551380618898,187.9905197200683,150.70999677244035
200.0,3.354028273019608,0.052892641347046965,0.9963568503929303,184.24563745464394,155.0262359708491,154.0889108009259
200.0,2.5936239363049243,-0.4199785085177731,2.3866848933642615,201.77811909469386,172.21470891778583,160.2997074282779
200.0,3.8720065712273932,0.15373249460761107,1.8287669138226528,196.1431251399071,158.9312478329173,153.23734303917948
200.0,2.526791093582923,-0.5218200039753239,1.2568015832336625,177.85902086732273,199.12842727461492,155.1570735379921
200.0,3.393289911037952,0.36193801511069057,0.7083944699672688,168.078029465479,162.14554068405894,163.97154207892206
200.0,2.840085787799133,-0.2632083516307998,1.2439392173862247,208.3740147727474,205.08379422830694,157.1083600997979
200.0,3.784771370728119,-0.49890802882000207,1.5202910099401175,178.89155541463683,195.0628645999298,163.16561237836322
200.0,2.4876128250802907,-0.8204557171608238,1.4830986560922954,158.1772813322699,150.60821217292022,189.0713254373571
200.0,3.202693943360381,-0.5617150603816103,0.5343736352303117,171.1416497393031,205.24042318920516,183.4057589596228
200.0,3.877285072958644,0.03280602152578682,1.945640714648391,158.72153120549297,179.1694331028279,145.58094849340185
200.0,2.6733684420221633,-0.009752184996262292,1.6118623197111124,167.86292964400724,173.85854465677457,170.46453163494866
200.0,2.795709846315809,-0.6362572223489755,1.1233383223819757,177.9932560318455,181.3519734686012,149.791727349931
200.0,3.5889668964755925,0.5714922010427954,1.3504435281370513,202.62497459974398,199.70322853418372,142.43679791677246
200.0,3.158648851595213,0.8381268426694162,0.7275356120921803,191.91409783758328,199.33183405076485,151.098218313109
200.0,3.672223163499167,0.22345380614676058,0.8367180288487958,152.24516248102051,188.92572325125116,182.06596350532325
200.0,2.881731817218376,-0.5791914733400573,2.0133937269197633,179.70414066447233,156.06097218828506,145.55508286408391
200.0,3.7944900004882767,-0.38179315407174585,1.0004963271369125,172.73610790569427,164.327516100401,161.26830782319274
200.0,3.6105116257931025,0.46726960531239725,2.3295372489943063,173.60737833252662,165.0477598890697,143.84089412410395
200.0,3.329896478245084,0.5444900762439555,1.974840985487214,209.45215042512476,153.52562353108016,159.16982138922918
200.0,2.6984764026170778,-1.0274090239578912,1.4365513867661261,170.06002894417094,196.3911285619202,169.77687431537117
200.0,2.9935496739927454,0.187055392405981,1.8390061344686333,155.44071481259738,161.88599339806117,162.25515111120828
200.0,2.3923462248995246,0.04275833920999905,1.234589505635963,200.4420196674682,192.80197946145654,153.37019311001828
200.0,3.5729506250251717,-1.0297600734853587,1.4459385273706555,201.06842302758605,176.64773790886736,156.85953626045227
200.0,2.8915168605034096,-0.7682564172246023,1.2416602948998956,171.16908653145057,154.82440682705146,152.14588763006444
200.0,2.9511814856526444,-0.8677206813994934,0.976887755936888,183.5724779330405,202.93135087953044,137.7769231289534
200.0,2.977450171586038,-0.6412754734823957,1.0699120895328909,194.45127545785547,182.83554875205164,158.058925611306
200.0,3.7432471282520012,0.2278872505697338,2.24610482140406,206.10203560816922,204.06129308591707,165.97716163011506
200.0,3.5882665681993346,0.27873436778803984,0.7007809861300272,194.82632452583482,172.01254109194926,186.99591473656702
200.0,2.8774424742401177,-0.038713419619263334,2.2307683711041895,190.9045140023661,204.93025453483745,181.76471478612373
200.0,3.053195148412023,-0.27607169290567546,0.9332609937725456,205.41699485878667,190.25587922310004,184.47822712889968
200.0,3.4580890480809385,-0.7516342090337642,2.6005662303672485,183.00740964957257,176.10778827872804,188.95840193425408
200.0,3.3395445780564286,-0.8704800533197086,0.8539811473799246,151.2727977909512,173.4785294609496,146.45869536398268
200.0,3.443585157263468,0.8527716131896628,0.630673177513863,201.20136627249815,163.68776531412902,165.4096516024834
200.0,2.9893304834716385,-0.8841882561580547,1.395606019142661,163.65799660496202,168.61697599307917,159.18085010090786
200.0,3.1326405213261928,0.3430689885977771,0.6329802927541527,191.2216940910916,151.31515772091686,186.79107813133103
200.0,2.6547736770580483,-0.17547631962954147,1.4027163825897877,152.84104500213283,164.98908449339157,154.67257189690278
200.0,2.459784643989223,0.5094566098332622,1.4727548497664467,168.23094547074388,150.542120645817,176.37356485423413
200.0,3.5340816955424006,0.707778153463493,0.5754781492301512,200.34448706069355,173.29869989313661,136.58557286553562
200.0,2.8326671919703497,-0.38920419450354715,2.072905158415087,185.72925068512598,176.49753340421546,139.02451435951764
200.0,2.8163744593073687,1.0409260294272207,2.365202592564498,159.86330089698788,159.57528225799862,180.58680155143725
200.0,3.772957053872722,0.6426196210668178,1.9097107800575621,168.03180136472542,201.5837711271644,179.1020035841956
200.0,2.4547605426375227,-0.07198344084456232,0.6769840908622407,202.24776021381817,198.86655313259652,157.13313051721147
200.0,3.1498285129318537,-0.3462303182604688,1.1859956143150383,173.61153657685034,181.41774071065308,189.97055110930447
200.0,3.4655240652831716,-1.045294139897316,1.61549448481549,156.59861790158973,177.07532393936967,160.52317909735154
200.0,3.6913909241280276,0.09387588011663262,1.1982230882550013,188.96987589025082,158.2458411271358,180.72883869498344
200.0,2.441203123201048,0.9266039634887981,0.6312194408779543,197.4562037979058,156.0201299250313,192.6197624064388
200.0,3.572630218823722,0.19933275678823503,0.9813392525260829,158.64988182517789,161.05648943428,177.54482299220462
200.0,3.217062934636779,0.25512871211669563,1.5391814426710337,192.8524498970005,201.7953282997217,174.52632731945812
200.0,3.4479992211480255,-0.9336489321712333,1.850932335234213,156.01491285047078,158.6645058249606,172.62552064022083
200.0,3.5903940477768677,-0.4767794236579679,1.8231347527733879,202.28933754384013,197.0511752885484,185.2480784973498
200.0,2.8697300509036987,-0.5549393405567535,1.1463959017078977,158.30154504322604,189.35903879973142,139.13012728141402
200.0,2.6827430852583016,-1.0156078456363336,0.8716602350618439,170.65330783126143,196.13601020034955,172.0907908529837
200.0,3.3602130974899618,-0.8424733697934312,0.6773632930222211,200.12919667768963,175.26698001908275,144.6242458244119
200.0,3.0958750194565012,0.805243155793048,1.005742641965535,188.1267927253001,159.889957295041,142.2407084190825
200.0,3.7602054618403837,-0.7933351815136043,1.6998791511441143,180.0412477566896,207.48322387427606,178.29447036980287
200.0,2.995608026664228,0.8739912623622559,1.4230151992752682,204.36970219865822,175.25973037691548,143.37188350924262
200.0,3.3955319545499982,0.48721297703071187,1.7586854657968918,165.99888144303554,197.79243846156203,187.6557001076944
200.0,3.3606535604413175,-0.48085236946633225,1.6672266440958907,155.74678688886908,170.97616657569142,180.7958287097877
200.0,3.8360652126587267,0.7027982314226919,1.0608842978433162,194.75299447723344,206.30415461933558,167.86379112318446
200.0,3.7702477739974762,0.6202521760123314,2.161673048801031,182.43112392478838,208.85619599332355,182.88758215129872
200.0,3.163504149570854,-0.6383669662055451,1.448132437451661,153.02976717504242,163.32530196723104,139.4106913383787
200.0,2.871463387175811,-0.30685275596709327,1.4265738794523657,172.36846264957572,207.38281244624523,195.38265993102158
200.0,3.3670336832762455,0.7425444372629175,1.081524161504823,183.52259889192732,208.6406253147877,138.8676327584809
200.0,2.4078306610453906,-1.042275429842838,1.1302832033526249,159.53247044559845,201.6719434468962,160.8895451145464
200.0,2.581112765524024,-0.3828828789785764,1.1363577873633206,154.18964216501524,196.83309199598352,148.31510619368223
200.0,3.9054439299928783,0.26484210916768647,2.414931939225878,163.51315160499598,178.42325097102832,186.6807328587857
200.0,3.072752233129263,-0.5694476901409897,2.523903578128187,193.66968737362086,176.42758161405743,175.7096900292764
200.0,2.539064445144956,-1.0151666532578207,2.3951347345137304,151.25626258321245,186.9657712975035,161.52567915389452
200.0,3.3727845251834476,0.507297705960621,2.2701649205599876,157.35915919034903,167.6956510509691,176.63707832855195
200.0,3.9130968528163637,-0.2408537839561916,2.178259386409777,175.58031085699955,209.3515035461749,176.77612856738736
200.0,3.1144252319846917,-0.5610577196873807,0.6117316868939457,151.63901194809608,167.75293533279356,154.31250822045803
200.0,3.8810978535268834,-1.0466240653628212,1.4812848009599795,178.64643528492974,201.19594733468136,195.99744374704179
200.0,3.7307579358665253,-1.0034883473091276,2.166994895539303,210.28913299717192,171.66158349096037,160.3433229360804
200.0,2.9193657187297,-0.5953097078470309,2.469802248279066,167.85489691088395,157.81672703142127,138.5585205128586
200.0,2.6841541147768337,0.21136363000844471,0.6230319433790226,206.62666652239787,189.80731841895152,182.48909258513146
200.0,3.5843955549720103,-0.9418600848435419,2.2295192193213538,210.36220650753037,175.34894440803527,155.90243817444852
200.0,3.607088172278936,0.05971593769390493,1.474482351398731,195.88786903071798,164.68971784553005,138.0117868587325
200.0,3.0308234775544967,-0.2610373521464152,1.0925585759886463,191.55286164801026,169.39086462200783,141.33121968539726
200.0,2.856379221147554,0.8139645085930458,1.9538441180434547,202.59161148012862,190.2790227957215,178.80833615040314
200.0,3.503639901633556,0.7706054570964671,0.6814493525315675,187.00242614691302,153.42554294620317,163.4668047386587
200.0,2.8294216068211906,-0.4462083783030234,1.6863497138304833,191.62791887790945,165.57838190094066,142.65257344221226
